seasonNumber,primaryTitle,runtimeMinutes,rank
144,Divided in Dominica,21,1
145,First Home in San Antonio,21,1
146,More Space Near Boston,21,1
147,Mellowing Out in Chiang Mai,21,1
148,"Colonial vs. Midcentury Cape Cod in Marblehead, Massachusetts",21,1
149,Toddler and Trabajo in Valencia,21,1
150,"City Vibes vs. Mountain Views in Trento, Italy",21,1
151,Open Space in Colorado,21,1
152,"Mexican Roots, American Anxieties",21,1
153,They Know the Way to San Jose,21,1
154,"Family Feud in Stockton, Calif.",21,1
155,Character or Bust in Atlanta,21,1
156,Ready for Battle in Redmond,21,1
157,A Duel in Durham,21,1
158,From the Islands to Tampa,21,1
159,Perfectly Tiny in NC,21,1
160,"Move, Dance and Connect in Mexico",21,1
161,A New Jersey Island Escape,21,1
162,A Singer and a Psychic Walk Into a Bar,21,1
163,Pumped to Purchase in Austin,21,1
164,Searching for a Side Hustle,21,1
165,No Row House in Philly,21,1
166,Staying Close to NYC,21,1
167,Antebellums Around Atlanta,21,1
168,Portland Proud,21,1
169,To the Victorian Go the Spoils,21,1
170,New Neighbors in Knoxville,21,1
171,On the Way to Orlando,21,1
172,Going Back to Boise,21,1
173,Lighting Up the Holidays,21,1
174,Fort Pierce Vacation Home,21,1
176,Bursting at the Seams in New York,21,1
177,"This is So Bad, it's Great",21,1
178,New Memories in Old Chicago,21,1
179,"He Won't Bend, She Won't Spend",21,1
180,Healthy Midlife Crisis in Oregon,21,1
181,Eight Long Years in Houston,21,1
184,Atlanta Suburbs or Bust!,21,1
185,Permanent Home for Serial Movers,21,1
186,Can't Agree in Connecticut,21,1
187,Room for Six in Massachusetts,21,1
188,Keeping Up with the Joneses in DC,21,1
189,Robbie Lawler vs. Johny Hendricks UFC 181,47,1
190,Rogerio Nogueira vs. Rashad Evans UFC 156,32,1
191,UFC 191 Countdown,44,1
192,Diggin' Geothermal in Ohio,21,1
193,Sin City Sibling Rivalry,21,1
194,Green Acres in Georgia,21,1
195,Downtown vs. Suburbs in Kansas City,21,1
196,Making Room for Daycare,21,1
197,Security Concerns in Greater D.C.,21,1
198,Emotion Over Investment in Dallas,21,1
199,Going Rogue in Maryland,21,1
224,Three Generations in Georgia,30,1
229,Planting Roots in Rural Georgia,30,1
233,Avoiding Snakes in Colorado Springs,30,1
2013,"Kings vs. Sabres: November 12, 2013",122,1
2014,Man V. Lion,39,1
2017,"Unité pour malades difficiles, qui sont ces fous que l'on enferme?",88,1
2019,The Sunday Interview with Jagmeet Singh,60,1
2020,First Time First Responders,21,1
2021,"Alberta's COVID-19 vaccination rates tied to levels of formal education, data shows",60,1
2024,Jackpot ou malédiction: un héritage va changer leur vie!,90,1
